K LAMBDA PRECIO PASOS TIEMPO
50000 0.01 1067.5450000000005 7005 0
5 0.1 1052.3270000000011 7005 1
50 0.1 1052.792000000001 7005 1
500 0.1 1052.6150000000011 7005 1
5000 0.1 1053.722000000001 7005 1
50000 0.1 1055.0790000000006 7005 1

5 1.0E-4 1105.429 7005 0
50 1.0E-4 1129.6459999999997 7005 0
500 1.0E-4 1128.6370000000004 7005 0
5000 1.0E-4 1126.7090000000005 7005 1
50000 1.0E-4 1131.1490000000003 7005 0
5 0.001 1071.5900000000006 7005 0
50 0.001 1115.4370000000006 7005 0
500 0.001 1127.7720000000008 7005 0
5000 0.001 1132.0970000000004 7005 0
50000 0.001 1125.0770000000007 7005 0
5 0.01 1044.4760000000006 7005 0
50 0.01 1045.1950000000002 7005 0
500 0.01 1053.6100000000001 7005 0
5000 0.01 1055.1979999999999 7005 0
50000 0.01 1076.5010000000007 7005 0
5 0.1 1042.0640000000003 7005 1
50 0.1 1043.475 7005 1
500 0.1 1046.0130000000004 7005 1
5000 0.1 1041.626 7005 1
50000 0.1 1045.2950000000005 7005 1

